"","date","hits","keyword","geo"
"1",2019-01-13,67,"Elkay","US-AL"
"2",2019-02-10,100,"Elkay","US-AL"
"3",2019-02-24,34,"Elkay","US-AL"
"4",2019-03-03,36,"Elkay","US-AL"
"5",2019-03-24,36,"Elkay","US-AL"
"6",2019-04-07,35,"Elkay","US-AL"
"7",2019-05-19,38,"Elkay","US-AL"
"8",2019-05-26,38,"Elkay","US-AL"
"9",2019-06-16,72,"Elkay","US-AL"
"10",2019-06-23,36,"Elkay","US-AL"
"11",2019-07-07,69,"Elkay","US-AL"
"12",2019-07-14,71,"Elkay","US-AL"
"13",2019-08-25,32,"Elkay","US-AL"
"14",2019-09-08,31,"Elkay","US-AL"
"15",2019-10-06,33,"Elkay","US-AL"
"16",2019-10-20,31,"Elkay","US-AL"
"17",2019-11-03,31,"Elkay","US-AL"
"18",2019-11-17,31,"Elkay","US-AL"
"19",2019-12-15,32,"Elkay","US-AL"
"20",2020-01-05,30,"Elkay","US-AL"
"21",2020-01-12,58,"Elkay","US-AL"
"22",2020-02-09,23,"Elkay","US-AL"
"23",2020-02-16,53,"Elkay","US-AL"
"24",2020-03-01,57,"Elkay","US-AL"
"25",2020-03-22,28,"Elkay","US-AL"
"26",2020-03-29,28,"Elkay","US-AL"
"27",2020-05-03,27,"Elkay","US-AL"
"28",2020-05-10,27,"Elkay","US-AL"
"29",2020-05-17,27,"Elkay","US-AL"
"30",2020-06-14,29,"Elkay","US-AL"
"31",2020-07-05,30,"Elkay","US-AL"
"32",2020-07-12,89,"Elkay","US-AL"
"33",2020-07-19,29,"Elkay","US-AL"
"34",2020-08-02,60,"Elkay","US-AL"
"35",2020-08-16,57,"Elkay","US-AL"
"36",2020-08-30,54,"Elkay","US-AL"
"37",2020-09-06,56,"Elkay","US-AL"
"38",2020-09-20,28,"Elkay","US-AL"
"39",2020-10-04,30,"Elkay","US-AL"
"40",2020-10-25,33,"Elkay","US-AL"
"41",2020-11-01,84,"Elkay","US-AL"
"42",2020-11-08,93,"Elkay","US-AL"
"43",2020-11-15,63,"Elkay","US-AL"
"44",2020-11-29,31,"Elkay","US-AL"
"45",2021-01-10,30,"Elkay","US-AL"
